Past ,EVT,ACRES
Past Conifer,Conifer,157622
Past Conifer,Hardwood,72473
Past Conifer,Developed,31616
Past Conifer,Riparian,30181
Past Conifer,Agricultural,15011
Past Conifer,Conifer-Hardwood,13612
Past Conifer,Exotics,11390
Past Hardwood,Hardwood,348373
Past Hardwood,Conifer,50073
Past Hardwood,Developed,30652
Past Hardwood,Agricultural,20041
Past Hardwood,Riparian,18085
Past Hardwood,Conifer-Hardwood,13347
Past Hardwood,Exotics,8017
Past Hardwood-Conifer,Conifer,70790
Past Hardwood-Conifer,Hardwood,52583
Past Hardwood-Conifer,Developed,18263
Past Hardwood-Conifer,Riparian,13525
Past Hardwood-Conifer,Conifer-Hardwood,11980
Past Hardwood-Conifer,Agricultural,8170
Past Hardwood-Conifer,Exotics,4345
Past Riparian,Riparian,660185
Past Riparian,Conifer,51606
Past Riparian,Hardwood,32249
Past Riparian,Developed,9408
Past Riparian,Exotics,2370
Past Riparian,Agricultural,1854
Past Riparian,Conifer-Hardwood,1342
