"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"66",227,63,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,14,0
"67",228,166,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,37,0
"68",229,36,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,8,0
"69",230,2,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,0,0
"70",301,13665,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,3039,0.2
"71",302,16171,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,3596,0.2
"72",303,66041,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,14687,0.8
"73",304,692,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,154,0
"74",305,3934,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,875,0
"75",306,35155,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,7818,0.4
"76",307,53211,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,11834,0.7
"77",308,59237,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,13174,0.7
"78",309,35646,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,7927,0.4
"79",310,55450,"Herb Height >= 1 meter",255,51,0,1,0.2,0,12332,0.7
